Linija,4:,Šalara-Olmo-Tržnica-Žusterna-Tržnica-Olmo-Šalara
Postajališča
Partizanska ulica,"0,0",6:35,7:15,7:55,8:35,10:25,11:00,11:35,12:25,14:22,15:00,15:40,17:22,18:05,18:40
Šalara,"0,9",6:36,7:16,7:56,8:36,10:26,11:01,11:36,12:26,14:23,15:01,15:41,17:23,18:06,18:41
Mercator,"1,4",6:37,7:17,7:57,8:37,10:27,11:02,11:37,12:27,14:24,15:02,15:42,17:24,18:07,18:42
Olmo,"2,0",6:39,7:19,7:59,8:39,10:29,11:04,11:39,12:29,14:26,15:04,15:44,17:26,18:09,18:44
Olmo K,"2,3",6:40,7:20,8:00,8:40,10:30,11:05,11:40,12:30,14:27,15:05,15:45,17:27,18:10,18:45
Tomšičeva ulica,K,"2,7",6:41,7:21,8:01,8:41,10:31,11:06,11:41,12:31,14:28,15:06,15:46,17:28,18:11,18:46
Tomšičeva ulica,"2,9",6:42,7:22,8:02,8:42,10:32,11:07,11:42,12:32,14:29,15:07,15:47,17:29,18:12,18:47
Pasarela,"3,3",6:43,7:23,8:03,8:43,10:33,11:08,11:43,12:33,14:30,15:08,15:48,17:30,18:13,18:48
Zeleni park,"4,3",6:46,7:26,8:06,8:46,10:36,11:11,11:46,12:36,14:33,15:11,15:51,17:33,18:16,18:51
Tržnica,"4,5",6:47,7:27,8:07,8:47,10:37,11:12,11:47,12:37,14:34,15:12,15:52,17:34,18:17,18:52
Tržnica,"4,5",6:47,7:27,8:07,8:47,10:38,11:12,11:47,14:00,14:35,15:15,15:55,17:35,18:17,18:52
Semedela-tunel,"5,4",6:50,7:30,8:10,8:50,10:41,11:15,11:50,14:03,14:38,15:18,15:58,17:38,18:20,18:55
Žusterna,"5,8",6:51,7:31,8:11,8:51,10:42,11:16,11:51,14:04,14:39,15:19,15:59,17:39,18:21,18:56
Semedela-tunel,"6,4",6:53,7:33,8:13,8:53,10:44,11:18,11:53,14:06,14:41,15:21,16:01,17:41,18:23,18:58
Zeleni park,"7,7",6:56,7:36,8:16,8:56,10:47,11:21,11:56,14:09,14:44,15:24,16:04,17:44,18:26,19:01
Tržnica,"7,9",6:57,7:37,8:17,8:57,10:48,11:22,11:57,14:10,14:45,15:25,16:05,17:45,18:27,19:02
Tržnica,"7,9",6:57,7:37,8:17,10:10,10:48,11:22,11:57,14:10,14:45,15:25,17:10,17:45,18:27,19:02
Mandrač,"8,9",7:00,7:40,8:20,10:13,10:51,11:25,12:00,14:13,14:48,15:28,17:13,17:48,18:30,19:05
Pasarela,"9,0",7:01,7:41,8:21,10:14,10:52,11:26,12:01,14:14,14:49,15:29,17:14,17:49,18:31,19:06
Tomšičeva ulica,"9,4",7:02,7:42,8:22,10:15,10:53,11:27,12:02,14:15,14:50,15:30,17:15,17:50,18:32,19:07
Tomšičeva ulica,K,"9,6",7:03,7:43,8:23,10:16,10:54,11:28,12:03,14:16,14:51,15:31,17:16,17:51,18:33,19:08
Olmo K,"10,0",7:04,7:44,8:24,10:17,10:55,11:29,12:04,14:17,14:52,15:32,17:17,17:52,18:34,19:09
Olmo,"10,3",7:05,7:45,8:25,10:18,10:56,11:30,12:05,14:18,14:53,15:33,17:18,17:53,18:35,19:10
Mercator,"10,9",7:07,7:47,8:27,10:20,10:58,11:32,12:07,14:20,14:55,15:35,17:20,17:55,18:37,19:12
Šalara,"11,4",7:08,7:48,8:28,10:21,10:59,11:33,12:08,14:21,14:56,15:36,17:21,17:56,18:38,19:13
Partizanska ulica,"12,3",7:09,7:49,8:29,10:22,11:00,11:34,12:09,14:22,14:57,15:37,17:22,17:57,18:39,19:14
Veljavnost:,15.11.2018
