Trg Brolo,6:13,6:57,7:34,8:14,8:54,9:34,10:24,11:24,12:24,13:24,14:02,14:44,15:24,16:04,16:42
Kosovelov trg,6:16,7:00,7:37,8:17,8:57,9:37,10:27,11:27,12:27,13:27,14:05,14:47,15:27,16:07,16:45
Tržnica,6:19,7:03,7:40,8:20,9:00,9:40,10:30,11:30,12:30,13:30,14:08,14:50,15:30,16:10,16:48
Semedela-tunel,6:22,7:06,7:43,8:23,9:03,9:43,10:33,11:33,12:33,13:33,14:11,14:53,15:33,16:13,16:51
Žusterna,6:23,7:07,7:44,8:24,9:04,9:44,10:34,11:34,12:34,13:34,14:12,14:54,15:34,16:14,16:52
Žusterna III,6:26,7:10,7:47,8:27,9:07,9:47,10:37,11:37,12:37,13:37,14:15,14:57,15:37,16:17,16:55
Beblerjeva ulica,K,6:27,7:11,7:48,8:28,9:08,9:48,10:38,11:38,12:38,13:38,14:16,14:58,15:38,16:18,16:56
Beblerjeva ulica,6:28,7:12,7:49,8:29,9:09,9:49,10:39,11:39,12:39,13:39,14:17,14:59,15:39,16:19,16:57
Kozlovičeva ulica,6:29,7:13,7:50,8:30,9:10,9:50,10:40,11:40,12:40,13:40,14:18,15:00,15:40,16:20,16:58
Kvedrova cesta,6:30,7:14,7:51,8:31,9:11,9:51,10:41,11:41,12:41,13:41,14:19,15:01,15:41,16:21,16:59
Markovec-Center Za,gradom,6:33,7:17,7:54,8:34,9:14,9:54,10:44,11:44,12:44,13:44,14:22,15:04,15:44,16:24,17:02
Trg Brolo,17:24,18:04,19:02,20:04,20:59
Kosovelov trg,17:27,18:07,19:05,20:07,21:02
Tržnica,17:30,18:10,19:08,20:10,21:05
Semedela-tunel,17:33,18:13,19:11,20:13,21:08
Žusterna,17:34,18:14,19:12,20:14,21:09
Žusterna III,17:37,18:17,19:15,20:17,21:12
Beblerjeva ulica,K,17:38,18:18,19:16,20:18,21:13
Beblerjeva ulica,17:39,18:19,19:17,20:19,21:14
Kozlovičeva ulica,17:40,18:20,19:18,20:20,21:15
Kvedrova cesta,17:41,18:21,19:19,20:21,21:16
Markovec-Center Za,gradom,17:44,18:24,19:22,20:24,21:19
Veljavnost:,1.9.2020
Linija,5:,Koper,Brolo,-,Žusterna,-,Markovec,-,Žusterna,-,Koper,Brolo
Markovec-Center Za,gradom,6:33,7:08,7:43,7:48,8:28,9:10,10:00,11:00,12:00,13:00,13:38,14:20,15:00,15:40,16:15
Beblerjeva ulica,6:35,7:10,7:45,7:50,8:30,9:12,10:02,11:02,12:02,13:02,13:40,14:22,15:02,15:42,16:17
